Empresa,Ano,Modelo,Carro/SUV,Titulo,UsadoOuNovo,Transmissao,Motor,TipoDirecao,TipoCombustivel,ConsumoCombustivel,Quilometros,EsquemaCores,CilindrosMotor,TipoCarroceria,Portas,Bancos,Preco
50,2015.0,698,569,3603,2,1,35,0,1,9.3,5551,596,4,8,4,5,18995.0
65,2013.0,321,468,2637,2,2,30,1,8,7.2,1532,430,4,6,4,5,16857.0
46,2015.0,185,468,3539,2,1,30,2,8,6.1,10659,158,4,6,4,5,22990.0
51,2010.0,537,569,1473,2,2,35,0,1,9.8,7034,596,4,8,2,2,13950.0
27,2017.0,201,468,4437,2,1,34,2,8,9.0,4916,289,4,6,4,7,12990.0
37,2017.0,212,226,4557,2,1,30,2,8,7.1,5856,430,4,3,5,5,22990.0
3,2016.0,590,226,3813,2,1,49,1,7,8.1,9366,649,5,3,5,5,59990.0
50,2014.0,698,569,3079,2,2,35,4,1,8.0,13071,596,4,8,2,2,21880.0
36,2007.0,387,468,709,2,1,62,0,1,16.0,5364,0,6,6,4,5,10990.0
48,2018.0,152,474,5361,2,1,30,4,3,6.5,11738,158,4,7,4,4,39990.0
69,2020.0,231,226,6644,2,1,28,2,3,4.2,12942,136,4,3,5,5,39990.0
19,2012.0,605,569,1940,2,2,52,0,1,9.4,6934,729,5,8,4,5,21990.0
28,2008.0,216,226,895,2,2,30,2,7,9.3,3958,498,4,3,3,4,18990.0
28,2022.0,181,468,7346,2,1,25,2,8,7.3,3198,596,4,6,4,5,39990.0
51,2013.0,537,569,2597,2,1,35,0,1,10.5,3633,596,4,8,4,5,21990.0
29,2017.0,700,468,4519,2,1,30,1,1,6.8,13794,596,4,6,4,5,31990.0
46,2015.0,187,468,3540,2,1,35,1,8,7.4,12593,430,4,6,4,5,26990.0
69,2015.0,401,381,3715,2,1,0,4,8,7.663150894460331,4051,649,0,0,0,0,32900.0
33,2017.0,243,569,4523,2,1,40,0,1,7.7,5147,596,4,8,4,5,28999.0
48,2014.0,98,226,3027,2,1,28,2,1,4.6,435,136,4,3,5,5,22500.0
